registry_id,primary_law,enf_outcome_code,self_disclosure_frequency,penalty_frequency,fed_penalty_assessed_amt,state_local_penalty_amt,sep_amt,compliance_action_cost,cost_recovery_awarded_amt,state,county,epa_region,lat,long,low_income_ratio,white_population_ratio,black_population_ratio,hispanic_population_ratio,asian_population_ratio,american_indian_population_ratio,air_pollutant_class_code,caasip,caamact,caansps,caatvp,caagactm,other,rad_wbd_huc12s,democrat,independent,libertarian,republican
110000490834.0,EPCRA,ECP,0.0,2,158252.0,0.0,0.0,690.0,0.0,WA,COWLITZ,10.0,46.126527,-122.899112,0.41,0.83,0.01,0.09,0.02,0.02,,0.0,0.0,0.0,0.0,0.0,0.0,,78.0,0.0,0.0,38.0
110000491076.0,FIFRA,ECN,0.0,2,1000.0,0.0,0.0,1100.0,0.0,WA,CLARK,10.0,45.565517,-122.333678,0.26,0.89,0.01,0.05,0.02,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,,78.0,0.0,0.0,38.0
110000491254.0,RCRA,ECP,0.0,1,206900.0,0.0,0.0,20500.0,0.0,WA,YAKIMA,10.0,46.559041,-120.391925,0.27,0.97,0.01,0.43,0.01,0.02,,0.0,0.0,0.0,0.0,0.0,0.0,,78.0,0.0,0.0,38.0
110000491682.0,CAA,ECP,0.0,1,2000.0,0.0,0.0,2000.0,0.0,WA,BENTON,10.0,46.309388,-119.297683,0.27,0.83,0.01,0.07,0.04,0.01,SMI,1.0,0.0,0.0,0.0,0.0,0.0,,78.0,0.0,0.0,38.0
110000491744.0,CWA,ECP,1.0,1,147000.0,0.0,0.0,1302.0,0.0,AK,ANCHORAGE,10.0,61.231236,-149.888143,0.33,0.59,0.09,0.1,0.15,0.12,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,32.0
110000491762.0,CAA,ECP,0.0,2,5200.0,0.0,0.0,1300.0,0.0,AK,ANCHORAGE,10.0,61.129407,-149.871824,0.18,0.72,0.04,0.08,0.12,0.08,MIN,0.0,0.0,0.0,0.0,0.0,1.0,,2.0,0.0,0.0,32.0
110000491799.0,FIFRA,,0.0,1,0.0,0.0,0.0,0.0,0.0,MA,HAMPSHIRE,1.0,42.368349,-72.632292,0.21,0.83,0.02,0.06,0.03,0.0,SMI,1.0,0.0,0.0,0.0,0.0,0.0,,125.0,0.0,0.0,0.0
110000491959.0,CAA,ECP,0.0,1,8700.0,0.0,0.0,100.0,0.0,CT,HARTFORD,1.0,41.62,-72.713889,0.13,0.82,0.05,0.05,0.09,0.0,MIN,1.0,1.0,1.0,0.0,0.0,0.0,,61.0,0.0,0.0,0.0
110000492002.0,EPCRA,ECP,0.0,2,62300.0,0.0,0.0,16827.0,0.0,NJ,HUDSON,2.0,40.738726,-74.112656,0.37,0.4,0.21,0.29,0.15,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,108.0,0.0,0.0,67.0
110000492173.0,EPCRA,ECP,0.0,1,59290.0,0.0,0.0,5100.0,0.0,NY,MONROE,2.0,43.197788,-77.629836,0.5,0.54,0.32,0.2,0.03,0.0,MAJ,1.0,1.0,1.0,1.0,0.0,5.0,04,280.0,0.0,0.0,66.0
